,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count
53,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Sample,duration,68.17731237411499,0
54,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu Mpich eBPF Sample,hookup-time,3.1773123741149902,0
55,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Sample,matom_steps_per_second,3.933,0
56,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Sample,cpu-usage,89.0,0
57,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Sample,wall-time,64.0,0
58,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Sample,duration,68.55324721336365,0
59,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Sample,hookup-time,4.5532472133636475,0
60,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Sample,matom_steps_per_second,3.943,0
61,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Sample,cpu-usage,89.0,0
62,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Sample,wall-time,64.0,0
63,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Sample,duration,68.37962865829468,0
64,google/gke/cpu,google,gke,cpu,4,lammps,Ubuntu OpenMPI eBPF Sample,hookup-time,4.379628658294678,0
65,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI eBPF Sample,matom_steps_per_second,2.681,0
66,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI eBPF Sample,cpu-usage,87.4,0
67,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI eBPF Sample,wall-time,95.0,0
68,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI eBPF Sample,duration,97.81816077232361,0
69,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI eBPF Sample,hookup-time,2.8181607723236084,0
70,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI eBPF Sample,matom_steps_per_second,2.783,0
71,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI eBPF Sample,cpu-usage,87.4,0
72,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI eBPF Sample,wall-time,92.0,0
73,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI eBPF Sample,duration,94.21021151542664,0
74,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI eBPF Sample,hookup-time,2.2102115154266357,0
75,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,matom_steps_per_second,4.697,0
76,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,cpu-usage,65.4,0
77,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,wall-time,57.0,0
78,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,duration,60.36099624633789,0
79,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,hookup-time,3.3609962463378906,0
80,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,matom_steps_per_second,3.936,0
81,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,cpu-usage,65.4,0
82,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,wall-time,66.0,0
83,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,duration,69.53325915336609,0
84,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,hookup-time,3.533259153366089,0
85,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,matom_steps_per_second,5.432,0
86,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,cpu-usage,65.4,0
87,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,wall-time,48.0,0
88,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,duration,51.51460123062134,0
89,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Multiple,hookup-time,3.514601230621338,0
90,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,matom_steps_per_second,5.041,0
91,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,cpu-usage,68.6,0
92,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,wall-time,52.0,0
93,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,duration,56.49937152862549,0
94,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,hookup-time,4.499371528625488,0
95,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,matom_steps_per_second,3.902,0
96,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,cpu-usage,68.6,0
97,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,wall-time,65.0,0
98,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,duration,69.97283411026001,0
99,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,hookup-time,4.97283411026001,0
100,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,matom_steps_per_second,5.577,0
