,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,2.28709e-11,0
1,google/gke/cpu,google,gke,cpu,64,kripke,duration,70.52703642845154,0
2,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,2.248602e-11,0
3,google/gke/cpu,google,gke,cpu,64,kripke,duration,69.831125497818,0
4,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,2.228345e-11,0
5,google/gke/cpu,google,gke,cpu,64,kripke,duration,69.18762946128845,0
6,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,2.251761e-11,0
7,google/gke/cpu,google,gke,cpu,64,kripke,duration,69.61622428894043,0
8,google/gke/cpu,google,gke,cpu,64,kripke,grind_time_seconds,2.250811e-11,0
9,google/gke/cpu,google,gke,cpu,64,kripke,duration,69.62081480026245,0
10,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,6.55937e-11,0
11,google/gke/cpu,google,gke,cpu,16,kripke,duration,171.46325945854187,0
12,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,6.544064e-11,0
13,google/gke/cpu,google,gke,cpu,16,kripke,duration,171.1743814945221,0
14,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,6.573076e-11,0
15,google/gke/cpu,google,gke,cpu,16,kripke,duration,171.9003496170044,0
16,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,6.562487e-11,0
17,google/gke/cpu,google,gke,cpu,16,kripke,duration,171.66131806373596,0
18,google/gke/cpu,google,gke,cpu,16,kripke,grind_time_seconds,6.54091e-11,0
19,google/gke/cpu,google,gke,cpu,16,kripke,duration,171.04734086990356,0
20,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,3.602072e-11,0
21,google/gke/cpu,google,gke,cpu,32,kripke,duration,98.49096727371216,0
22,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,3.611082e-11,0
23,google/gke/cpu,google,gke,cpu,32,kripke,duration,98.52088665962219,0
24,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,3.637577e-11,0
25,google/gke/cpu,google,gke,cpu,32,kripke,duration,99.05879139900208,0
26,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,3.670837e-11,0
27,google/gke/cpu,google,gke,cpu,32,kripke,duration,99.70688724517822,0
28,google/gke/cpu,google,gke,cpu,32,kripke,grind_time_seconds,3.626185e-11,0
29,google/gke/cpu,google,gke,cpu,32,kripke,duration,98.67032957077026,0
30,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,2.981478e-10,0
31,google/gke/cpu,google,gke,cpu,4,kripke,duration,761.9328684806824,0
32,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,2.983061e-10,0
33,google/gke/cpu,google,gke,cpu,4,kripke,duration,762.428186416626,0
34,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,2.980743e-10,0
35,google/gke/cpu,google,gke,cpu,4,kripke,duration,761.7351822853088,0
36,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,2.980521e-10,0
37,google/gke/cpu,google,gke,cpu,4,kripke,duration,761.8146748542786,0
38,google/gke/cpu,google,gke,cpu,4,kripke,grind_time_seconds,2.984379e-10,0
39,google/gke/cpu,google,gke,cpu,4,kripke,duration,762.7640624046326,0
40,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.266927e-10,0
41,google/gke/cpu,google,gke,cpu,8,kripke,duration,326.2210159301758,0
42,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.270768e-10,0
43,google/gke/cpu,google,gke,cpu,8,kripke,duration,327.09566378593445,0
44,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.267433e-10,0
45,google/gke/cpu,google,gke,cpu,8,kripke,duration,326.34849524497986,0
46,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.267077e-10,0
47,google/gke/cpu,google,gke,cpu,8,kripke,duration,326.2150938510895,0
48,google/gke/cpu,google,gke,cpu,8,kripke,grind_time_seconds,1.266524e-10,0
49,google/gke/cpu,google,gke,cpu,8,kripke,duration,326.1375472545624,0
