,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count,setup
0,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,time_seconds,38.014,16,kubernetes
1,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_accuracy,0.6853,16,kubernetes
2,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_loss,0.8136,16,kubernetes
3,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_accuracy,0.7202,16,kubernetes
4,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_loss,0.7021,16,kubernetes
5,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_accuracy,0.7939,16,kubernetes
6,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_loss,0.5693,16,kubernetes
7,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_accuracy,0.8105,16,kubernetes
8,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_loss,0.5229,16,kubernetes
9,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,time_seconds,39.246,16,kubernetes
10,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_accuracy,0.6846,16,kubernetes
11,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_loss,0.8123,16,kubernetes
12,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_accuracy,0.7217,16,kubernetes
13,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_loss,0.7,16,kubernetes
14,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_accuracy,0.7947,16,kubernetes
15,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_loss,0.5697,16,kubernetes
16,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_accuracy,0.8106,16,kubernetes
17,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_loss,0.5219,16,kubernetes
18,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,time_seconds,40.883,16,kubernetes
19,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_accuracy,0.685,16,kubernetes
20,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_loss,0.8131,16,kubernetes
21,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_accuracy,0.7195,16,kubernetes
22,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_loss,0.7033,16,kubernetes
23,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_accuracy,0.7939,16,kubernetes
24,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_loss,0.5692,16,kubernetes
25,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_accuracy,0.8108,16,kubernetes
26,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_loss,0.5222,16,kubernetes
27,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,time_seconds,39.642,16,kubernetes
28,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_accuracy,0.6844,16,kubernetes
29,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_loss,0.8132,16,kubernetes
30,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_accuracy,0.7194,16,kubernetes
31,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_loss,0.7033,16,kubernetes
32,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_accuracy,0.7942,16,kubernetes
33,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_loss,0.5694,16,kubernetes
34,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_accuracy,0.811,16,kubernetes
35,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_loss,0.5227,16,kubernetes
36,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,time_seconds,72.455,16,kubernetes
37,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_accuracy,0.6836,16,kubernetes
38,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_loss,0.813,16,kubernetes
39,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_accuracy,0.7197,16,kubernetes
40,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_loss,0.7033,16,kubernetes
41,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_accuracy,0.7933,16,kubernetes
42,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_loss,0.5694,16,kubernetes
43,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_accuracy,0.8101,16,kubernetes
44,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_loss,0.5233,16,kubernetes
45,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,time_seconds,39.804,16,kubernetes
46,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_accuracy,0.6851,16,kubernetes
47,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_0_loss,0.8128,16,kubernetes
48,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_accuracy,0.7208,16,kubernetes
49,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_1_loss,0.7031,16,kubernetes
50,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_accuracy,0.7939,16,kubernetes
51,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_2_loss,0.5698,16,kubernetes
52,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_accuracy,0.811,16,kubernetes
53,google/gke/gpu,google,gke,gpu,16,usernetes-vs-kubernetes,epoch_3_loss,0.5214,16,kubernetes
54,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,time_seconds,32.08,2,kubernetes
55,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_0_accuracy,0.6849,2,kubernetes
56,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_0_loss,0.8132,2,kubernetes
57,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_1_accuracy,0.7191,2,kubernetes
58,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_1_loss,0.7027,2,kubernetes
59,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_2_accuracy,0.7939,2,kubernetes
60,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_2_loss,0.5695,2,kubernetes
61,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_3_accuracy,0.8101,2,kubernetes
62,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_3_loss,0.5212,2,kubernetes
63,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,time_seconds,33.224,2,kubernetes
64,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_0_accuracy,0.6848,2,kubernetes
65,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_0_loss,0.8124,2,kubernetes
66,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_1_accuracy,0.72,2,kubernetes
67,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_1_loss,0.7038,2,kubernetes
68,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_2_accuracy,0.7945,2,kubernetes
69,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_2_loss,0.5695,2,kubernetes
70,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_3_accuracy,0.8105,2,kubernetes
71,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_3_loss,0.5222,2,kubernetes
72,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,time_seconds,32.755,2,kubernetes
73,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_0_accuracy,0.6842,2,kubernetes
74,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_0_loss,0.8126,2,kubernetes
75,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_1_accuracy,0.7204,2,kubernetes
76,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_1_loss,0.7029,2,kubernetes
77,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_2_accuracy,0.794,2,kubernetes
78,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_2_loss,0.5689,2,kubernetes
79,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_3_accuracy,0.8106,2,kubernetes
80,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_3_loss,0.5213,2,kubernetes
81,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,time_seconds,33.255,2,kubernetes
82,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_0_accuracy,0.6847,2,kubernetes
83,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_0_loss,0.8124,2,kubernetes
84,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_1_accuracy,0.7221,2,kubernetes
85,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_1_loss,0.7012,2,kubernetes
86,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_2_accuracy,0.7939,2,kubernetes
87,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_2_loss,0.5694,2,kubernetes
88,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_3_accuracy,0.8091,2,kubernetes
89,google/gke/gpu,google,gke,gpu,2,usernetes-vs-kubernetes,epoch_3_loss,0.523,2,kubernetes
