,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,laghos,duration,720.3929214477539,0
1,google/gke/cpu,google,gke,cpu,64,laghos,total_rate,214.0792202472,0
2,google/gke/cpu,google,gke,cpu,64,laghos,duration,722.430736541748,0
3,google/gke/cpu,google,gke,cpu,64,laghos,total_rate,212.9625991776,0
4,google/gke/cpu,google,gke,cpu,64,laghos,duration,721.5878915786743,0
5,google/gke/cpu,google,gke,cpu,64,laghos,total_rate,213.6476925821,0
6,google/gke/cpu,google,gke,cpu,16,laghos,duration,185.20685410499573,0
7,google/gke/cpu,google,gke,cpu,16,laghos,total_rate,832.9984618947,0
8,google/gke/cpu,google,gke,cpu,16,laghos,duration,195.549973487854,0
9,google/gke/cpu,google,gke,cpu,16,laghos,total_rate,787.7324727909,0
10,google/gke/cpu,google,gke,cpu,16,laghos,duration,187.2696623802185,0
11,google/gke/cpu,google,gke,cpu,16,laghos,total_rate,825.5788065128,0
12,google/gke/cpu,google,gke,cpu,16,laghos,duration,185.0372200012207,0
13,google/gke/cpu,google,gke,cpu,16,laghos,total_rate,832.9392601529,0
14,google/gke/cpu,google,gke,cpu,16,laghos,duration,185.92992281913757,0
15,google/gke/cpu,google,gke,cpu,16,laghos,total_rate,829.2494562761,0
16,google/gke/cpu,google,gke,cpu,32,laghos,duration,310.3936975002289,0
17,google/gke/cpu,google,gke,cpu,32,laghos,total_rate,500.1686280815,0
18,google/gke/cpu,google,gke,cpu,32,laghos,duration,311.02365922927856,0
19,google/gke/cpu,google,gke,cpu,32,laghos,total_rate,499.9700144491,0
20,google/gke/cpu,google,gke,cpu,32,laghos,duration,315.70642471313477,0
21,google/gke/cpu,google,gke,cpu,32,laghos,total_rate,491.3284523988,0
22,google/gke/cpu,google,gke,cpu,4,laghos,duration,128.3969054222107,0
23,google/gke/cpu,google,gke,cpu,4,laghos,total_rate,1190.0067428322,0
24,google/gke/cpu,google,gke,cpu,4,laghos,duration,129.5407726764679,0
25,google/gke/cpu,google,gke,cpu,4,laghos,total_rate,1180.3399418741,0
26,google/gke/cpu,google,gke,cpu,4,laghos,duration,128.00797510147095,0
27,google/gke/cpu,google,gke,cpu,4,laghos,total_rate,1193.6557854855,0
28,google/gke/cpu,google,gke,cpu,4,laghos,duration,125.0883538722992,0
29,google/gke/cpu,google,gke,cpu,4,laghos,total_rate,1222.402433259,0
30,google/gke/cpu,google,gke,cpu,4,laghos,duration,126.85933446884155,0
31,google/gke/cpu,google,gke,cpu,4,laghos,total_rate,1203.2549847262,0
32,google/gke/cpu,google,gke,cpu,8,laghos,duration,143.41292572021484,0
33,google/gke/cpu,google,gke,cpu,8,laghos,total_rate,1071.550914761,0
34,google/gke/cpu,google,gke,cpu,8,laghos,duration,147.8807189464569,0
35,google/gke/cpu,google,gke,cpu,8,laghos,total_rate,1037.089417254,0
36,google/gke/cpu,google,gke,cpu,8,laghos,duration,144.69804501533508,0
37,google/gke/cpu,google,gke,cpu,8,laghos,total_rate,1059.2964290304,0
38,google/gke/cpu,google,gke,cpu,8,laghos,duration,141.84953546524048,0
39,google/gke/cpu,google,gke,cpu,8,laghos,total_rate,1081.738149935,0
40,google/gke/cpu,google,gke,cpu,8,laghos,duration,144.85587310791016,0
41,google/gke/cpu,google,gke,cpu,8,laghos,total_rate,1061.2743108414,0
